epoch,step,train_loss,val_auc,val_loss
0,11,,0.5,0.6947744488716125
1,23,,0.5,0.6931857466697693
2,35,,0.5,0.7061600089073181
3,47,,0.5,0.6951169967651367
4,49,0.7172656059265137,,
4,59,,0.5,0.6971777081489563
5,71,,0.5,0.6932374238967896
6,83,,0.5,0.6954993009567261
7,95,,0.5,0.6965183615684509
8,99,0.6829649209976196,,
8,107,,0.5,0.6979638338088989
9,119,,0.5,0.6930443644523621
10,131,,0.5,0.6938643455505371
11,143,,0.5,0.6999840140342712
12,149,0.692844033241272,,
12,155,,0.5,0.69303297996521
13,167,,0.5,0.6937721371650696
14,179,,0.5,0.7073220610618591
15,191,,0.5,0.693976104259491
16,199,0.6513016223907471,,
16,203,,0.5,0.6983941793441772
17,215,,0.5,0.6937351822853088
18,227,,0.5,0.69282066822052
19,239,,0.5,0.6963406205177307
20,249,0.7068522572517395,,
20,251,,0.5,0.6928191781044006
21,263,,0.5,0.6955045461654663
22,275,,0.5,0.7053453326225281
23,287,,0.5,0.6928567886352539
24,299,0.6761006116867065,,
24,299,,0.5,0.6936652064323425
25,311,,0.5,0.7001432180404663
26,323,,0.5,0.6932908296585083
27,335,,0.5,0.695216953754425
28,347,,0.5,0.6932432651519775
29,349,0.7004556655883789,,
29,359,,0.5,0.6986594796180725
30,371,,0.5,0.6971728801727295
31,383,,0.5,0.6933612823486328
32,395,,0.5,0.6970589756965637
33,399,0.6765689849853516,,
33,407,,0.5,0.6928210854530334
34,419,,0.5,0.6974511742591858
35,431,,0.5,0.6946524381637573
36,443,,0.5,0.6936846375465393
37,449,0.7367910146713257,,
37,455,,0.5,0.6972990036010742
38,467,,0.5,0.6929842829704285
39,479,,0.5,0.7020307183265686
40,491,,0.5,0.6931949257850647
41,499,0.7278869152069092,,
41,503,,0.5,0.6952857375144958
42,515,,0.5,0.6967770457267761
43,527,,0.5,0.6945121884346008
44,539,,0.5,0.6930586099624634
45,549,0.6670035719871521,,
45,551,,0.5,0.6960328221321106
46,563,,0.5,0.6970407366752625
47,575,,0.5,0.6928251385688782
48,587,,0.5,0.6951866149902344
49,599,0.6354769468307495,,
49,599,,0.5,0.69661945104599
