metric,value
daic_auroc,0.5217
mosei_sentiment_ccc,0.5064
mosei_emotion_auc,0.7189
fi_avg_ccc,0.5308
fi_extraversion_ccc,0.5328
fi_neuroticism_ccc,0.5099
fi_agreeableness_ccc,0.4445
fi_conscientiousness_ccc,0.6524
fi_openness_ccc,0.5143
best_daic_auroc,0.5217
total_regressions,59
