metric,value
daic_auroc,0.5072
mosei_sentiment_ccc,0.5151
mosei_emotion_auc,0.7199
fi_avg_ccc,0.5525
fi_extraversion_ccc,0.5679
fi_neuroticism_ccc,0.5339
fi_agreeableness_ccc,0.4815
fi_conscientiousness_ccc,0.6583
fi_openness_ccc,0.5210
best_daic_auroc,0.5072
total_regressions,36
