epoch,step,train_loss,val_auc,val_loss
0,11,,0.5,0.6936192512512207
1,23,,0.5,0.6928843259811401
2,35,,0.5,0.6937810778617859
3,47,,0.5,0.7063107490539551
4,49,0.7147906422615051,,
4,59,,0.5,0.6934576630592346
5,71,,0.5,0.6951026320457458
6,83,,0.5,0.6929676532745361
7,95,,0.5,0.6944581270217896
8,99,0.7085558176040649,,
8,107,,0.5,0.7089920043945312
9,119,,0.5,0.6929703950881958
10,131,,0.5,0.692922830581665
11,143,,0.5,0.6928330659866333
12,149,0.7121255397796631,,
12,155,,0.5,0.7097886800765991
13,167,,0.5,0.6928643584251404
14,179,,0.5,0.6989513635635376
15,191,,0.5,0.6933339238166809
16,199,0.6782788038253784,,
16,203,,0.5,0.6943725347518921
17,215,,0.5,0.6981015205383301
18,227,,0.5,0.6935586929321289
19,239,,0.5,0.6952798366546631
20,249,0.7164843082427979,,
20,251,,0.5,0.6953213810920715
21,263,,0.5,0.6946826577186584
22,275,,0.5,0.7005808353424072
23,287,,0.5,0.6943070292472839
24,299,0.6386566162109375,,
24,299,,0.5,0.6973279118537903
25,311,,0.5,0.6975486874580383
26,323,,0.5,0.6928990483283997
27,335,,0.5,0.6991778612136841
28,347,,0.5,0.6977685689926147
29,349,0.6552423238754272,,
29,359,,0.5,0.6968199610710144
30,371,,0.5,0.6928865909576416
31,383,,0.5,0.6962443590164185
32,395,,0.5,0.697717010974884
33,399,0.7000901699066162,,
33,407,,0.5,0.6930232048034668
34,419,,0.5,0.6987717151641846
35,431,,0.5,0.6940600872039795
36,443,,0.5,0.6956673860549927
37,449,0.7159023880958557,,
37,455,,0.5,0.6969674825668335
38,467,,0.5,0.696358859539032
39,479,,0.5,0.6953209638595581
40,491,,0.5,0.6985803246498108
41,499,0.688876211643219,,
41,503,,0.5,0.6929472088813782
42,515,,0.5,0.6966261267662048
43,527,,0.5,0.6952319145202637
44,539,,0.5,0.6932487487792969
45,549,0.6647046804428101,,
45,551,,0.5,0.695254921913147
46,563,,0.5,0.7003675699234009
47,575,,0.5,0.6944735646247864
48,587,,0.5,0.6931257247924805
49,599,0.663969099521637,,
49,599,,0.5,0.6997491717338562
