metric,value
daic_auroc,0.5399
mosei_sentiment_ccc,0.5105
mosei_emotion_auc,0.7315
fi_avg_ccc,0.5397
fi_extraversion_ccc,0.5582
fi_neuroticism_ccc,0.5168
fi_agreeableness_ccc,0.4537
fi_conscientiousness_ccc,0.6495
fi_openness_ccc,0.5203
best_daic_auroc,0.5399
total_regressions,43
