metric,value
daic_auroc,0.5616
mosei_sentiment_ccc,0.4814
mosei_emotion_auc,0.7362
fi_avg_ccc,0.5255
fi_extraversion_ccc,0.5491
fi_neuroticism_ccc,0.5078
fi_agreeableness_ccc,0.4352
fi_conscientiousness_ccc,0.6309
fi_openness_ccc,0.5043
best_daic_auroc,0.5616
total_regressions,71
