level,daic_auroc,mosei_sentiment_ccc,mosei_emotion_auc,fi_avg_ccc,gpu_hours,note
L0,0.5725,0.4931,0.7026,0.5705,0,Reused Phase 5 MMoEEx results
L1,0.48188405797101447,0.5155700708923676,0.7663765998879951,0.5366207073189895,0.10152732849121093,Trained 30 epochs with LLM projector (level L1)
L2,0.48550724637681164,0.6193530645983352,0.7522360815422733,0.5071770061456775,0.07259612540404002,Trained 30 epochs with LLM projector (level L2)
L3,0.5108695652173914,0.6205507266194522,0.7627591500007336,0.5142512035322601,0.07202925205230713,Trained 30 epochs with LLM projector (level L3)
L4,0.4927536231884058,0.6334716474782167,0.7174236936918955,0.47229911862104884,0.07638981892002954,Trained 30 epochs with LLM projector (level L4)
L5,0.6485507246376812,0.6290471851185949,0.7008222967292855,0.4749792652061898,0.07587041841612922,Trained 30 epochs with LLM projector (level L5)
