metric,value
daic_auroc,0.5725
mosei_sentiment_ccc,0.4931
mosei_emotion_auc,0.7026
fi_avg_ccc,0.5705
fi_extraversion_ccc,0.5940
fi_neuroticism_ccc,0.5600
fi_agreeableness_ccc,0.4672
fi_conscientiousness_ccc,0.6792
fi_openness_ccc,0.5523
