metric,value
daic_auroc,0.5254
mosei_sentiment_ccc,0.5210
mosei_emotion_auc,0.7179
fi_avg_ccc,0.5032
fi_extraversion_ccc,0.5219
fi_neuroticism_ccc,0.4613
fi_agreeableness_ccc,0.4218
fi_conscientiousness_ccc,0.6223
fi_openness_ccc,0.4885
best_daic_auroc,0.5254
total_regressions,47
