metric,value
daic_auroc,0.6341
mosei_sentiment_ccc,0.4954
mosei_emotion_auc,0.7221
fi_avg_ccc,0.5181
fi_extraversion_ccc,0.5416
fi_neuroticism_ccc,0.4942
fi_agreeableness_ccc,0.4458
fi_conscientiousness_ccc,0.6169
fi_openness_ccc,0.4920
best_daic_auroc,0.6341
total_regressions,67
