metric,value
daic_auroc,0.5362
mosei_sentiment_ccc,0.5317
mosei_emotion_auc,0.7300
fi_avg_ccc,0.4738
fi_extraversion_ccc,0.4967
fi_neuroticism_ccc,0.4475
fi_agreeableness_ccc,0.3286
fi_conscientiousness_ccc,0.6249
fi_openness_ccc,0.4715
