metric,value
daic_auroc,0.5507
mosei_sentiment_ccc,0.4784
mosei_emotion_auc,0.7134
fi_avg_ccc,0.5778
fi_extraversion_ccc,0.6156
fi_neuroticism_ccc,0.5585
fi_agreeableness_ccc,0.4815
fi_conscientiousness_ccc,0.6762
fi_openness_ccc,0.5572
