metric,value
daic_auroc,0.4964
mosei_sentiment_ccc,0.4694
mosei_emotion_auc,0.7497
fi_avg_ccc,0.3629
fi_extraversion_ccc,0.3759
fi_neuroticism_ccc,0.3396
fi_agreeableness_ccc,0.2396
fi_conscientiousness_ccc,0.5315
fi_openness_ccc,0.3281
best_daic_auroc,0.4964
total_regressions,41
