k,variant,num_edges,density,avg_degree,avg_similarity,cross_dataset_pct
5,full_graph,2500,0.01002004008016032,5.0,0.5446469837817502,0.0
5,inductive,2500,0.01002004008016032,5.0,0.5423897604533107,0.0
10,full_graph,5000,0.02004008016032064,10.0,0.5404925677587112,0.0
10,inductive,5000,0.02004008016032064,10.0,0.538052439086236,0.0
15,full_graph,7500,0.03006012024048096,15.0,0.5378246722159064,0.0
15,inductive,7500,0.03006012024048096,15.0,0.5352991035211299,0.0
20,full_graph,10000,0.04008016032064128,20.0,0.5358404297923166,0.0
20,inductive,10000,0.04008016032064128,20.0,0.5332334436616495,0.0
